,longitude,latitude,name
233,-8838600.34596,5411289.00257,30063446
234,-8838714.04101,5411505.71139,30019162
235,-8838947.73736,5411744.99084,7807820
236,-8838940.90902,5411746.97554,14205086
237,-8838934.20424,5411748.711,14173697
238,-8838926.38182,5411751.31573,14674152
239,-8838919.18168,5411753.42505,14205087
240,-8838912.35223,5411755.53438,14078166
241,-8839010.68853,5411805.43824,793082
242,-8839006.48399,5411816.60341,793085
243,-8839057.76888,5411450.37677,864453
244,-8839188.42679,5411799.26409,7808147
245,-8839210.46249,5411821.24519,20364173
246,-8839206.85239,5411821.96523,20364174
247,-8839202.69795,5411823.04836,20364175
248,-8839184.4794,5411812.33858,20364123
249,-8839065.85847,5411812.16935,793084
250,-8839063.67327,5411802.9735,793083
251,-8839067.14087,5411821.53597,793086
252,-8839070.23889,5411831.10262,793088
253,-8839078.50325,5411853.2715,793091
254,-8839081.2072,5411861.7735,793094
255,-8839025.8213,5411882.29928,793100
256,-8839028.21355,5411890.03973,793101
257,-8839042.95114,5411901.96351,879018
258,-8839036.13839,5411907.22229,879017
259,-8839030.26629,5411908.06388,879016
260,-8839026.02724,5411910.03015,879015
261,-8839136.93708,5411974.26504,2809293
262,-8838808.17611,5411325.54856,6925087
263,-8838808.77056,5411333.55623,6925088
264,-8838853.66905,5411501.02977,7807926
265,-8838856.0947,5411507.74681,7807927
266,-8838851.37364,5411485.93415,7807924
267,-8838856.75928,5411514.54539,7807928
268,-8838811.86969,5411548.60914,14120828
269,-8838601.79311,5411294.59792,30063448
270,-8838603.72339,5411300.92404,30063449
271,-8838605.41434,5411306.27786,30063450
272,-8838607.10194,5411312.36091,30063452
273,-8838608.54909,5411317.7132,30063453
274,-8838710.75931,5411511.42226,30019163
275,-8838709.32997,5411523.21785,30028664
276,-8838731.77866,5411550.26302,14205073
277,-8839010.71747,5411825.12539,793087
278,-8839019.90912,5411848.69894,793095
279,-8839016.62965,5411839.17843,793092
280,-8838848.91682,5411911.89642,7853559
281,-8838743.34698,5411929.64213,7853543
282,-8838755.47746,5411933.98702,7853545
283,-8839198.90864,5411823.76686,20364176
284,-8839185.19741,5411815.60029,20364122
285,-8839186.27721,5411819.04354,20364121
286,-8839187.17556,5411822.48679,20364120
287,-8839183.19255,5411809.05842,14205118
288,-8839141.95313,5411981.76247,2809294
289,-8838798.4056,5411294.7333,6925082
290,-8838801.37004,5411298.33944,6925083
291,-8838801.93999,5411304.85633,6925084
292,-8838897.31408,5411649.73187,5650625
293,-8838809.28708,5411673.08497,14205070
294,-8838790.98727,5411662.87846,20363719
295,-8838802.894,5411669.09252,20363717
296,-8838796.94175,5411665.9878,20363718
297,-8838785.25654,5411659.55066,20363720
298,-8838779.30206,5411656.66748,20363721
299,-8838774.23368,5411654.02432,6925228
300,-8838610.47937,5411324.28395,30063454
301,-8838612.16809,5411331.0947,30063456
302,-8838725.97557,5411565.88183,6925226
303,-8838725.83308,5411575.54976,20363686
304,-8838699.42699,5411525.78098,6925223
305,-8839002.216,5411831.83958,793089
306,-8839018.26493,5411858.45332,793097
307,-8839022.07206,5411870.36321,793099
308,-8839014.89529,5411866.66608,793098
309,-8838747.05948,5411943.59994,7853546
310,-8838751.05251,5411953.18364,7853547
311,-8839210.23762,5411840.40465,14189007
312,-8839188.25425,5411826.11159,20364119
313,-8839219.46267,5411901.19577,7808546
314,-8839229.43801,5411922.90171,2749802
315,-8839229.04839,5411937.53955,2750026
316,-8839231.10001,5411944.11228,2750027
317,-8839233.29968,5411951.34659,2750487
318,-8839085.78911,5412027.46571,793110
319,-8839080.34113,5412029.18738,793109
320,-8839075.06014,5412033.53693,793108
321,-8839066.61321,5412035.88326,793107
322,-8839058.42566,5412037.58646,793106
323,-8838803.81573,5411312.1486,6925085
324,-8838813.01183,5411347.3593,6925090
325,-8838761.78483,5411314.11475,30081083
326,-8838763.10507,5411319.17473,30081082
327,-8838765.51403,5411330.08547,30081079
328,-8838766.54151,5411333.88393,30081078
329,-8838764.31846,5411324.38856,30081080
330,-8838711.9393,5411295.88407,14194907
331,-8838614.1006,5411336.20546,30063458
332,-8838617.72182,5411347.3993,30063459
333,-8838618.92741,5411352.99468,30063461
334,-8838619.89032,5411357.13007,30063462
335,-8838623.02842,5411367.83624,30063465
336,-8838621.82283,5411363.21469,30063463
337,-8838626.16652,5411377.81473,30063468
338,-8838624.47669,5411372.46086,30063466
339,-8838628.09902,5411382.6809,30063469
340,-8838691.73481,5411549.13376,6925224
341,-8838752.21469,5411959.08556,7853548
342,-8838753.91788,5411965.65061,7853549
343,-8839214.27963,5411859.61492,14206158
344,-8839211.06027,5411860.6319,14206154
345,-8839207.50361,5411861.30886,14206159
346,-8839203.94584,5411862.492,14206155
347,-8839201.06601,5411863.33974,14206160
348,-8839239.17957,5411968.07385,2750522
349,-8839235.08302,5411959.41789,2750521
350,-8839213.58611,5411903.08819,7808509
351,-8839032.18432,5412041.79139,793103
352,-8839048.80766,5412045.81477,793105
353,-8839040.08021,5412048.42881,793104
354,-8838987.8992,5411304.59325,6925212
355,-8838991.59612,5411338.487,14189042
356,-8838810.7064,5411340.29007,6925089
357,-8838815.88164,5411350.25314,6925111
358,-8838816.6119,5411356.13315,6925110
359,-8838767.56565,5411339.58084,30081075
360,-8838769.10631,5411345.45007,30081074
361,-8838770.47442,5411351.66699,30081073
362,-8838771.49968,5411357.01776,30081072
363,-8838536.90276,5411306.64093,6924940
364,-8838684.70053,5411551.29689,30028661
365,-8838879.36826,5411701.71678,6925235
366,-8838873.04309,5411703.68147,30019255
367,-8838866.71792,5411705.1323,14205091
368,-8838846.82735,5411720.42828,30019248
369,-8839531.87414,5412710.39952,6355098
370,-8839533.25227,5412716.75123,6355099
371,-8839198.18729,5411863.84439,14206156
372,-8839195.13824,5411864.52135,14206157
373,-8839192.4265,5411865.02907,13968170
374,-8839184.24452,5411860.44574,7808860
375,-8839207.4602,5411904.98215,7808465
376,-8838987.34149,5411339.67161,14189049
377,-8838982.13953,5411340.85161,14189047
378,-8838977.64556,5411342.26853,14189048
379,-8838973.39093,5411343.45161,14189043
380,-8838968.66208,5411344.63161,14189046
381,-8838963.93323,5411345.81161,14189044
382,-8838961.12575,5411294.05331,14173683
383,-8838956.74867,5411295.51176,14173682
384,-8838951.57565,5411296.83945,14173681
385,-8838947.72845,5411298.16405,14173680
386,-8838943.61519,5411299.22713,14173679
387,-8838938.44218,5411300.68404,14173678
388,-8838933.80016,5411302.01173,14173677
389,-8838947.93328,5411326.66548,14188985
390,-8838929.42196,5411303.07172,14173676
391,-8838925.04488,5411304.26556,14173675
392,-8838821.36858,5411367.64085,6925092
393,-8838822.04763,5411374.22702,6925093
394,-8838734.57612,5411358.84853,30081055
395,-8838532.79952,5411297.42867,6924939
396,-8838897.2061,5411759.37916,14205088
397,-8838890.2542,5411761.73773,14205089
398,-8838882.92826,5411763.59627,7807819
399,-8838852.1384,5411740.73681,30019245
400,-8838853.68908,5411746.09243,30019250
401,-8838848.15317,5411726.89931,30019247
402,-8838849.70273,5411732.92572,30019249
403,-8838855.46018,5411753.01119,30019246
404,-8838733.86033,5411679.67135,30019242
405,-8838726.74256,5411682.11759,30019243
406,-8838719.40216,5411684.78692,30019204
407,-8838712.06509,5411686.1162,30019203
408,-8838770.46329,5411769.28576,30019702
409,-8838763.79414,5411771.43509,30019701
410,-8838757.39884,5411773.83981,7807809
411,-8838709.96783,5411738.05208,30019198
412,-8839178.31676,5411855.98087,7808874
413,-8839171.43499,5411858.00252,7808888
414,-8839200.51386,5411907.53615,7808461
415,-8839193.62764,5411911.82103,7808458
416,-8838959.2066,5411346.48391,14189045
417,-8838955.09223,5411347.67622,14189041
418,-8838939.59433,5411338.67007,6925210
419,-8838826.92676,5411382.79474,6925094
420,-8838819.35481,5411361.5993,6925091
421,-8838630.03042,5411388.27784,30063470
422,-8838631.47757,5411394.36094,30063471
423,-8838633.1674,5411400.19944,30063472
424,-8838635.34369,5411407.05794,30063473
425,-8838728.28879,5411583.96535,20363685
426,-8838730.25135,5411590.8963,20363684
427,-8838731.96901,5411597.82571,20363683
428,-8838856.78599,5411759.26069,30019251
429,-8838807.44363,5411736.56433,30019164
430,-8838813.55841,5411744.00157,30019165
431,-8838796.46419,5411892.25216,7853529
